"IDm","IDw","FormTime","DisTime","AgeGap"
46,82,0.9412547304,9.5611961299,-11.7642288390
48,61,6.4109214797,9.5777083348,-2.0389041215
46,89,9.0157281349,9.6197154111,10.6169191018
12,72,5.7416099500,9.6612854221,9.9435196552
42,90,9.1426132723,9.6964342525,-36.3782686221
43,66,7.5880894169,9.7116046417,-23.1936081726
45,69,9.2913621796,9.7194560861,35.0091793904
1,91,9.1287109987,9.7563549752,32.6779006315
6,63,9.0852096635,9.7579471785,9.3917516609
41,63,8.6213370915,9.7579471785,-9.9382349748
39,93,8.6714197345,9.7586327637,-52.7226563160
40,95,9.4259785112,9.7604280024,5.2606282347
21,65,9.0691999102,9.8420190626,-1.8905447712
19,69,9.1431368521,9.8423639665,14.0080459512
15,87,8.3807847573,9.9380843324,23.2191603196
46,65,9.2672700359,9.9392133194,10.8442160529
16,83,9.1119641767,9.9467711141,41.3753253769
35,77,5.3445987346,9.9483603704,21.9141501087
20,72,9.7246066143,9.9930710223,-4.7564530183
19,77,7.6514904439,10.0523477554,-2.0507456328
33,90,8.8922960711,10.0678531882,5.8038917953
43,59,10.2037150065,10.2096993374,5.4074688649
29,100,10.2170812236,10.2189499364,-26.3068452191
19,97,10.1929889342,10.2301351868,13.9574580962
40,81,5.7105299084,10.2366654856,0.5136580891
16,77,9.9410195651,10.3965502264,29.5850619701
11,74,10.2588699460,10.4467775874,0.8198320709
31,98,10.1051451484,10.4693564522,-23.3121692674
9,95,8.7153644620,10.4915651812,35.9953667007
44,92,9.6784283447,10.5078691677,26.5651194415
37,88,10.1582414534,10.6054465018,-0.2562753654
13,86,8.7223826240,10.6165840607,-11.0016598040
3,74,10.1259059267,10.6501789882,3.6924188041
13,53,8.9636293886,10.6543368026,-49.7952295020
4,89,9.3571883131,10.6551947621,-1.5613552722
18,88,10.1299957812,10.6720955464,8.0990576545
13,75,9.7330785494,10.7940367753,0.6366402345
20,92,10.8226638956,10.8231864624,-10.6283139415
2,67,10.1496601610,10.8443288575,-27.7006107230
17,91,10.6863936684,10.8857747348,24.8587875486
32,76,10.4580795824,10.9304769583,-48.2152132577
